iter	Passed	Remaining
836	2141	417
837	2144	414
838	2146	411
839	2148	409
840	2151	406
841	2154	404
842	2156	401
843	2159	399
844	2161	396
845	2163	393
846	2166	391
847	2168	388
848	2171	386
849	2174	383
850	2176	381
851	2178	378
852	2181	375
853	2183	373
854	2186	370
855	2189	368
856	2191	365
857	2193	363
858	2196	360
859	2198	357
860	2201	355
861	2203	352
862	2206	350
863	2208	347
864	2210	345
865	2213	342
866	2215	339
867	2218	337
868	2221	334
869	2223	332
870	2225	329
871	2228	327
872	2230	324
873	2233	321
874	2236	319
875	2238	316
876	2240	314
877	2243	311
878	2245	309
879	2248	306
880	2250	304
881	2253	301
882	2256	298
883	2258	296
884	2260	293
885	2263	291
886	2265	288
887	2269	286
888	2271	283
889	2274	281
890	2276	278
891	2279	275
892	2281	273
893	2284	270
894	2287	268
895	2289	265
896	2292	263
897	2294	260
898	2297	258
899	2300	255
900	2302	253
901	2305	250
902	2307	247
903	2310	245
904	2312	242
905	2315	240
906	2318	237
907	2320	235
908	2323	232
909	2325	229
910	2327	227
911	2330	224
912	2333	222
913	2335	219
914	2338	217
915	2340	214
916	2343	212
917	2345	209
918	2348	207
919	2351	204
920	2353	201
921	2356	199
922	2358	196
923	2361	194
924	2363	191
925	2366	189
926	2368	186
927	2371	183
928	2373	181
929	2376	178
930	2378	176
931	2381	173
932	2384	171
933	2386	168
934	2388	166
935	2391	163
936	2393	160
937	2396	158
938	2399	155
939	2401	153
940	2404	150
941	2406	148
942	2409	145
943	2412	143
944	2415	140
945	2417	137
946	2419	135
947	2422	132
948	2424	130
949	2427	127
950	2430	125
951	2432	122
952	2434	120
953	2437	117
954	2439	114
955	2442	112
956	2444	109
957	2447	107
958	2450	104
959	2452	102
960	2455	99
961	2457	97
962	2460	94
963	2463	91
964	2465	89
965	2468	86
966	2470	84
967	2473	81
968	2475	79
969	2478	76
970	2481	74
971	2483	71
972	2486	68
973	2488	66
974	2491	63
975	2494	61
976	2497	58
977	2499	56
978	2502	53
979	2504	51
980	2506	48
981	2509	46
982	2512	43
983	2514	40
984	2517	38
985	2519	35
986	2522	33
987	2524	30
988	2527	28
989	2530	25
990	2532	23
991	2534	20
992	2537	17
993	2539	15
994	2542	12
995	2545	10
996	2547	7
997	2550	5
998	2552	2
999	2555	0
